item,GPUFLOPS-1.60-MIX2-1T-32KB-2s-cpubind-2min,,,,,
cluster,freq,totalpwr,pwr,perf/pwr,corepwr(0.8 * pwr),clusterpwr(0.2 * pwr)
idle,,,795,,,
little,633,850,55,11785.30909,44,11
little,902,865,70,13194.97143,56,14
little,1113,890,95,11996.96842,76,19
little,1401,930,135,10626.84444,108,27
little,1536,980,185,8501.967568,148,37
little,1747,1030,235,7612.459574,188,47
little,1843,1060,265,7121.630189,212,53
big,1113,1220,425,4289.632941,340,85
big,1401,1375,580,3956.617241,464,116
big,1747,1675,860,3327.425581,688,172
big,1958,1900,1100,2915.64,880,220
big,2150,2130,1340,2628.134328,1072,268
big,2208,2630,1820,1987.2,1456,364
